track_id,artist,album,track_name,duration_ms,track_genre
6G8xvLFNkXy3HM5EbQI6c8,lovelytheband,sail away,sail away,179000,alt-rock
5gRcv46AMTrosmTOqrOV3Q,Nirvana,In Utero - 20th Anniversary Remaster,Dumb,151893,alt-rock
5W8YXBz9MTIDyrpYaCg2Ky,Papa Roach,Infest,Last Resort,199906,alt-rock
0eNfURq0r0oNSwFyw1VuVT,The 1975,Being Funny In A Foreign Language,Looking For Somebody (To Love),178617,alt-rock
59WN2psjkt1tyaxjspN8fp,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),Killing In The Name,313573,alt-rock
5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,The Colour And The Shape,Everlong,250546,alt-rock
6Up545NUflOiXo8cEraH49,Lauren Daigle,Look Up Child,You Say,274693,alt-rock
4sNG6zQBmtq7M8aeeKJRMQ,Declan McKenna,What Do You Think About the Car?,Brazil,252306,alt-rock
64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,Californication (Deluxe Edition),Otherside,255373,alt-rock
0815caqt2Lytro5EIzMufT,Lifehouse,Lifehouse,You And Me,195493,alt-rock
1G391cbiT3v3Cywg8T7DM1,Red Hot Chili Peppers,Californication (Deluxe Edition),Scar Tissue,215906,alt-rock
0gmbgwZ8iqyMPmXefof8Yf,Nickelback,Silver Side Up,How You Remind Me,223840,alt-rock
63OQupATfueTdZMWTxW03A,Radiohead,OK Computer,Karma Police,264066,alt-rock
0ADZ5dmXhlfzjMw6lefoPl,Nickelback,All the Right Reasons,Far Away,238173,alt-rock
2oaK4JLVnmRGIO9ytBE1bt,Red Hot Chili Peppers,The Getaway,Dark Necessities,302000,alt-rock
5vHLwhxxlGzmClMcxRRFPr,Nirvana,Nevermind (Remastered),Lithium,257053,alt-rock
4FxeY2UZeP3kpdBPbpGggN,The 1975,Being Funny In A Foreign Language,Wintering,165457,alt-rock
5r5cp9IpziiIsR6b93vcnQ,Empire of the Sun,Walking On A Dream (10th Anniversary Edition),Walking On A Dream,198440,alt-rock
60F6pgM6H6miNr5AmjxwjL,The Neighbourhood,Fallen Star,Fallen Star,224938,alt-rock
0YNtAadZvKBBEFARtfoCV8,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Compass,167960,alt-rock
5v8aEcHcaJIGYpfVVPtJjI,The Neighbourhood,I'm Sorry...,Wires,193080,alt-rock
4XfI7M5gLwEY84gYiH4RDD,The Neighbourhood,Chip Chrome & The Mono-Tones,Devil's Advocate,186306,alt-rock
1jJci4qxiYcOHhQR247rEU,MGMT,Oracular Spectacular,Kids,302840,alt-rock
6XcfKZvJio9Z0fQy11GnNX,lovelytheband,finding it hard to smile,broken,204878,alt-rock
305WCRhhS10XUcH6AEwZk6,Jet,Get Born,Are You Gonna Be My Girl,213800,alt-rock
2Kt1XplPBQBsDKQDa6TssB,The Neighbourhood,I Love You.,Flawless,246493,alt-rock
2a1iMaoWQ5MnvLFBDv4qkf,Radiohead,The Bends,High and Dry,257480,alt-rock
3Y4rUyw7XBCK6hGHCOt6rp,The Strokes,Comedown Machine,"Call It Fate, Call It Karma",204773,alt-rock
7x8dCjCr0x6x2lXKujYD34,Foo Fighters,"Echoes, Silence, Patience & Grace",The Pretender,269373,alt-rock
113xf7t4qNM7038YJvauik,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Nervous,245000,alt-rock
1xLs8Mu1QEVbGCpyHQ2r2U,Dominic Fike,What Could Possibly Go Wrong,Why,139906,alt-rock
2MLHyLy5z5l5YRp7momlgw,Weezer,Weezer (Green Album),Island In The Sun,200306,alt-rock
6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,The Better Life,Kryptonite,233933,alt-rock
3zjjzKg16tczCMwckGKGuH,Weathers,Happy Pills,Happy Pills,203080,alt-rock
6PypGyiu0Y2lCDBN1XZEnP,R.E.M.,Automatic For The People,Everybody Hurts,320266,alt-rock
73CKjW3vsUXRpy3NnX4H7F,Radiohead,The Bends,Fake Plastic Trees,290706,alt-rock
2Iq6HhIquO7JKr0KfTNLzU,Saint Motel,My Type EP,My Type,204811,alt-rock
5Az8KU81g2aLBbJN67F2CI,Young the Giant,Mind Over Matter,Mind Over Matter,244693,alt-rock
2t0wwvR15fc3K1ey8OiOaN,The Strokes,The New Abnormal,Selfless,222093,alt-rock
1jq28NGw6wdtFKx8MBPy6C,Nickelback,Dark Horse,Burn It to the Ground,212346,alt-rock
2EoOZnxNgtmZaD8uUmz2nD,Soundgarden,Superunknown (Deluxe Edition),Black Hole Sun,318586,alt-rock
55yvzYuvJYG2RUEnMK78tr,Nirvana,Nirvana,About A Girl,166640,alt-rock
6TfBA04WJ3X1d1wXhaCFVT,The Offspring,"Rise And Fall, Rage And Grace","You're Gonna Go Far, Kid",177826,alt-rock
40gvh6jP5qxMJuMmF9lG9A,The Neighbourhood,Wiped Out!,Baby Came Home 2 / Valentines,390493,alt-rock
3FtYbEfBqAlGO46NUDQSAt,MGMT,Oracular Spectacular,Electric Feel,229640,alt-rock
4BggEwLhGfrbrl7JBhC8EC,Crazy Town,The Gift Of Game,Butterfly,216733,alt-rock
40LQiUUUKXVGyNs09lHVjW,Hinder,Extreme Behavior,Lips Of An Angel,261853,alt-rock
0z1o5L7HJx562xZSATcIpY,Radiohead,OK Computer,Exit Music (For A Film),267186,alt-rock
6GG73Jik4jUlQCkKg9JuGO,Jimmy Eat World,Bleed American,The Middle,165853,alt-rock
4wajJ1o7jWIg62YqpkHC7S,Radiohead,In Rainbows,Weird Fishes/ Arpeggi,318186,alt-rock
1UqhkbzB1kuFwt2iy4h29Q,Young the Giant,Young The Giant (Special Edition),Cough Syrup,249520,alt-rock
10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,Stadium Arcadium,Dani California,282160,alt-rock
3zwmW1gM4E8FlHXV5nE16u,Audioslave,Out of Exile,Be Yourself,278973,alt-rock
1FTSo4v6BOZH9QxKc3MbVM,Blur,Blur (Special Edition),Song 2 - 2012 Remaster,121160,alt-rock
3RlsVPIIs5KFhLFhxZ4iDF,Nickelback,All the Right Reasons (Walmart Exclusive Edition),Rockstar,252040,alt-rock
20I8RduZC2PWMWTDCZuuAN,Franz Ferdinand,Franz Ferdinand,Take Me Out,237026,alt-rock
5Xak5fmy089t0FYmh3VJiY,Pearl Jam,Ten,Black,342653,alt-rock
1L94M3KIu7QluZe63g64rv,Pearl Jam,Ten,Alive,340907,alt-rock
51TG9W3y9qyO8BY5RXKgnZ,Megadeth,Countdown To Extinction,Symphony Of Destruction,246733,alt-rock
0QnONzv3TvHAWk294h6DaQ,Pearl Jam,Last Kiss,Last Kiss,195466,alt-rock
7nnWIPM5hwE3DaUBkvOIpy,Incubus,Make Yourself,Drive,232453,alt-rock
7kzKAuUzOITUauHAhoMoxA,The Strokes,Is This It,Last Nite,193506,alt-rock
6urCAbunOQI4bLhmGpX7iS,No Doubt,Tragic Kingdom,Don't Speak,263560,alt-rock
1sTsuZTdANkiFd7T34H3nb,The Killers,Day & Age (Bonus Tracks),Human,245373,alt-rock
6PwjJ58I4t7Mae9xfZ9l9v,The Killers,Hot Fuss,Somebody Told Me,197200,alt-rock
1Ic9pKxGSJGM0LKeqf6lGe,Nirvana,In Utero - 20th Anniversary Remaster,All Apologies,233173,alt-rock
2VSbEXqs6NbNiZSTcHlIDR,Creed,Weathered,My Sacrifice,294600,alt-rock
56sk7jBpZV0CD31G9hEU3b,Three Days Grace,One-X,Animal I Have Become,231400,alt-rock
5awDvzxWfd53SSrsRZ8pXO,Rammstein,Sehnsucht,Du hast,234226,alt-rock
37mfTcSlX60JtAvAETytGs,I DONT KNOW HOW BUT THEY FOUND ME,Choke,Choke,195717,alt-rock
57Xjny5yNzAcsxnusKmAfA,The Strokes,Room On Fire,Reptilia,219826,alt-rock
5Rizj5FLb2AyNKu9esjYY6,Nirvana,In Utero - 20th Anniversary - Deluxe Edition,Rape Me,170000,alt-rock
1RTYixE1DD3g3upEpmCJpa,Black Veil Brides,Wretched and Divine: The Story Of The Wild Ones,In The End,228280,alt-rock
06WUUNf7q18NZfjIsQFsfa,Slayer,Repentless,Delusions of Saviour,115413,alt-rock
4EchqUKQ3qAQuRNKmeIpnf,The Offspring,Americana,The Kids Aren't Alright,180160,alt-rock
0QQIhT6PtJ5glyn4HKNKQ6,KALEO,A/B,All the Pretty Girls,269893,alt-rock
6LgJvl0Xdtc73RJ1mmpotq,Radiohead,OK Computer,Paranoid Android,387213,alt-rock
5OQsiBsky2k2kDKy2bX2eT,Foo Fighters,There Is Nothing Left To Lose,Learn to Fly,235293,alt-rock
51c94ac31swyDQj9B3Lzs3,Deftones,White Pony,Change (In the House of Flies),299533,alt-rock
3YuaBvuZqcwN3CEAyyoaei,Audioslave,Audioslave,Like a Stone,293960,alt-rock
5FZxsHWIvUsmSK1IAvm2pp,Foo Fighters,In Your Honor,Best of You,255626,alt-rock
3IyCL4Em1GOpNGDf451Hg1,The Struts,Everybody Wants,Could Have Been Me,187653,alt-rock
7fcfNW0XxTWlwVlftzfDOR,Pantera,Vulgar Display of Power,Walk,315120,alt-rock
2JuasWPUodaUxf5nwNpciQ,Alice In Chains,Jar Of Flies,Nutshell,259200,alt-rock
2302lUwfZ4S4dVyPOCDFnQ,Marilyn Manson,Smells Like Children,Sweet Dreams (Are Made Of This),293293,alt-rock
27L8sESb3KR79asDUBu8nW,Fountains Of Wayne,Welcome Interstate Managers,Stacy's Mom,197986,alt-rock
6gZVQvQZOFpzIy3HblJ20F,Alice In Chains,Facelift,Man in the Box,285200,alt-rock
4iG2gAwKXsOcijVaVXzRPW,MGMT,Oracular Spectacular,Time to Pretend,261000,alt-rock
4dyx5SzxPPaD8xQIid5Wjj,Peter Bjorn and John,Writer's Block,Young Folks,276693,alt-rock
70wYA8oYHoMzhRRkARoMhU,The Killers,Sam's Town,When You Were Young,220426,alt-rock
3gVhsZtseYtY1fMuyYq06F,Rammstein,Mutter,Sonne,272440,alt-rock
1f2V8U1BiWaC9aJWmpOARe,Red Hot Chili Peppers,By the Way (Deluxe Edition),By the Way,216933,alt-rock
6QewNVIDKdSl8Y3ycuHIei,Pearl Jam,Ten,Even Flow,292580,alt-rock
0tZ3mElWcr74OOhKEiNz1x,Rage Against The Machine,Evil Empire,Bulls On Parade,229466,alt-rock
2bPGTMB5sFfFYQ2YvSmup0,Rammstein,Rammstein,Deutschland,322339,alt-rock
55mJleti2WfWEFNFcBduhc,TOOL,Lateralus,Schism,403533,alt-rock
4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,abcdefu,168601,alternative
