track_id,artist,album,track_name,duration_ms,track_genre
3MrRksHupTVEQ7YbA0FsZK,Europe,The Final Countdown (Expanded Edition),The Final Countdown,310333,hard-rock
4bHsxqR3GMrXTxEPLuK5ue,Journey,Escape (Bonus Track Version),Don't Stop Believin',250986,hard-rock
2N2yrmodOnVF10mKvItC9P,Guns N' Roses,Use Your Illusion I,Don't Cry (Original),283733,hard-rock
0bVtevEgtDIeRjCJbK3Lmv,Guns N' Roses,Appetite For Destruction,Welcome To The Jungle,272026,hard-rock
7LRMbd3LEoV5wZJvXT1Lwb,AC/DC,High Voltage,T.N.T.,214666,hard-rock
2SiXAy7TuUkycRVbbWDEpo,AC/DC,Back In Black,You Shook Me All Night Long,210173,hard-rock
6zeE5tKyr8Nu882DQhhSQI,Kansas,Point Of Know Return (Expanded Edition),Dust in the Wind,206266,hard-rock
1JLn8RhQzHz3qDqsChcmBl,Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster,304786,hard-rock
7ACxUo21jtTHzy7ZEV56vU,Ozzy Osbourne,Blizzard Of Ozz (40th Anniversary Expanded Edition),Crazy Train,293183,hard-rock
7N3PAbqfTjSEU1edb2tY8j,Van Halen,1984 (Remastered),Jump - 2015 Remaster,241599,hard-rock
7KwZNVEaqikRSBSpyhXK2j,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),Hypnotize - 2014 Remaster,229826,hardcore
2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,Ready to Die (The Remaster),Big Poppa - 2005 Remaster,252746,hardcore
1aL9518P5G72N92b48tuKw,AP Dhillon,Summer High,Summer High,177391,hip-hop
08Isz2ETWSBhvIl8UpKYsp,Shubh,No Love,No Love,170387,hip-hop
6ZYxNjuAU9Vy3VtF6W1dtE,Shubh,We Rollin,We Rollin,199205,hip-hop
0yCWDaAgOtg6TKlNCg9rwA,King,The Carnival,Tu Aake Dekhle,270000,hip-hop
5W7DOVGQLTigu09afW7QMT,Sidhu Moose Wala,Moosetape,295,270000,hip-hop
0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,MONTERO,THATS WHAT I WANT,143901,hip-hop
27ZZdyTSQWI7Cug2d2PkqV,Armani White,BILLIE EILISH.,BILLIE EILISH.,99282,hip-hop
5DqdesEfbRyOlSS3Tf6c29,Ali Gatie,YOU,It's You,212606,hip-hop
1SC5rEoYDGUK4NfG82494W,Lil Nas X,MONTERO,MONTERO (Call Me By Your Name),137704,hip-hop
7lQ8MOhq6IN2w8EYcFNSUk,Eminem,The Eminem Show,Without Me,290320,hip-hop
0VgkVdmE4gld66l8iyGjgx,Future,FUTURE,Mask Off,204600,hip-hop
3Ofmpyhv5UAQ70mENzB277,Masked Wolf,Astronaut In The Ocean,Astronaut In The Ocean,132780,hip-hop
3yfqSUWxFvZELEM4PmlwIR,Eminem,The Marshall Mathers LP,The Real Slim Shady,284200,hip-hop
6DCZcSspjsKoFjzjrWoCdn,Drake,Scorpion,God's Plan,198973,hip-hop
38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),210575,hip-hop
1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,About Damn Time,191822,hip-hop
7Ie9W94M7OjPoZVV216Xus,Eminem,Recovery,Not Afraid,248133,hip-hop
4cacyP5c3PMlfnyjpg13xW,Yung Gravy,Betty (Get Money),Betty (Get Money),146470,hip-hop
68Dni7IE4VyPkTOH9mRWHr,J. Cole,2014 Forest Hills Drive,No Role Modelz,292799,hip-hop
3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,175720,hip-hop
7KXjTSCq5nL1LoYtL7XAwS,Kendrick Lamar,DAMN.,HUMBLE.,177000,hip-hop
1rDQ4oMwGJI7B4tovsBOxc,Jack Harlow,First Class,First Class,173947,hip-hop
6gBFPUFcJLzWGx4lenP6h2,Travis Scott,Birds In The Trap Sing McKnight,goosebumps,243836,hip-hop
1r8ZCjfrQxoy2wVaBUbpwg,The Kid LAROI,Thousand Miles,Thousand Miles,164781,hip-hop
27OeeYzk6klgBh83TSvGMA,The Kid LAROI,F*CK LOVE (SAVAGE),WITHOUT YOU,161384,hip-hop
6or1bKJiZ06IlK0vFvY75k,Eminem,The Marshall Mathers LP2 (Deluxe),Rap God,363521,hip-hop
0fX4oNGBWO3dSGUZcVdVV2,Kendrick Lamar,Mr. Morale & The Big Steppers,N95,195950,hip-hop
7iL6o9tox1zgHpKUfh9vuC,50 Cent,Get Rich Or Die Tryin',In Da Club,193466,hip-hop
2xLMifQCjDGFmkHkpNLD9h,Travis Scott,ASTROWORLD,SICKO MODE,312820,hip-hop
1v7L65Lzy0j0vdpRjJewt1,Eminem,Just Lose It,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,hip-hop
11kDth1aKUEUMq9r1pqyds,Travis Scott,ASTROWORLD,5% TINT,196138,house
2cYqizR4lgvp4Qu6IQ3qGN,Travis Scott,ASTROWORLD,BUTTERFLY EFFECT,190557,house
2GYHyAoLWpkxLVa4oYTVko,Stromae,Cheese,Alors on danse - Radio Edit,206066,house
6OufwUcCqo81guU2jAlDVP,Shouse,Love Tonight,Love Tonight - Edit,241970,house
5odlY52u43F5BjByhxg7wg,JVKE,this is what ____ feels like (Vol. 1-4),golden hour,209259,indie-pop
6CDzDgIUqeDY5g8ujExx2f,Glass Animals,Heat Waves,Heat Waves,238805,indie-pop
6N22FZs2ZhPBYi3b9XPajV,Labrinth,Euphoria (Original Score from the HBO Series),Still Don't Know My Name,153294,indie-pop
6EtKlIQmGPB9SX8UjDJG5s,Labrinth,Euphoria (Original Score from the HBO Series),Formula,91869,indie-pop
3Wrjm47oTz2sjIgck11l5e,Måneskin,Chosen,Beggin',211560,indie-pop
7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Immunity,Sofia,188386,indie-pop
7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Freaks,147062,indie-pop
1ZdhOMWyFR8Iv9eylMGYg2,Labrinth,Imagination & the Misfit Kid,Mount Everest,157497,indie-pop
